col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
qyCDA,EXDJg,DEKnG,89,149,136,124,66.26921004615346,35.974277091941424,ZpoGi,98,-8.546900679403056
XFtTo,JuWCK,oaqGq,121,105,131,123,68.21028335208914,36.378901496401475,jGboZ,93,-8.970651404642137
cPVCG,glRyS,VdUHE,70,167,109,122,31.038426421898087,17.241658698984516,BlMVk,99,-6.31849948855665
HHbQR,tJctz,vFrJt,78,135,147,118,89.75091211190247,31.44433866450683,NOyst,110,61.382716947974544
QQBoO,SirCT,umrqD,106,130,146,153,60.77244114794413,31.271664344540312,bzFbx,86,37.705613296591864
oRGoa,zIErl,HjELM,137,125,123,134,94.18615938717736,40.35906001285974,uZarw,104,58.19681591941092
xJfxS,JaIfE,yLTmt,114,116,127,136,67.02348512633398,36.43818714029486,dNiHE,85,11.077671118368075
WaSxm,ghiOF,kCUjW,76,118,140,126,72.43704009698844,41.06899659004165,wiYxy,105,-28.314906446070143
AwrwB,dxZQK,GPnto,99,113,126,143,86.19116599977902,62.279506187052974,cfGYv,130,-15.231119463407403
hWrCr,MNxOF,xULfx,114,120,102,129,106.69126633294084,33.12754124688023,fmQQX,82,63.03957910171846
lMuWM,jjyMM,Vsias,115,137,138,125,108.3045583352324,14.900097271280803,JWIAR,88,6.713747116458862
OxrOM,TTOjv,kXqxw,109,120,153,132,84.90533103900967,30.24476336320581,zesCE,84,-14.331140137837142
GQSOO,lXQki,NiAob,121,137,118,124,69.22333860004501,41.000609244581895,pMfLE,97,60.94514520782569
EpdSy,etUDS,ZHrTX,78,108,107,128,48.18712048089661,40.715487271533505,NwxTI,101,30.236171020220315
BlhNu,BMJhd,eGkOB,122,98,130,136,52.14479792016264,32.208112350259064,REBJR,75,-6.010617890805097
uaTKK,MHWuG,ribUL,95,139,136,125,66.42337098645595,31.57307730086118,kozuB,118,-51.90360393491085
iCldc,IZCLm,hTMCx,96,109,138,137,35.66676209291006,20.46361304591447,rZjCB,86,3.165498520286093
nBKTN,Khwyt,JllxA,109,112,119,124,67.10054201894302,44.54277246495743,JnkKD,103,-8.863719762101649
FsLQd,QFQqt,GYcYv,116,137,146,133,60.73259513084024,37.03009121135749,UGLpj,104,20.30587569221386
XMLMZ,aFGDd,vYWUJ,118,131,119,135,87.25059558336216,22.164326552133545,FARfo,79,-21.655014916542587
bPXIG,JZZgs,hubUg,70,119,129,137,45.038832203621276,14.750856689913542,nDwtJ,101,43.98459569830089
nWAdX,cddGE,lcEVu,70,101,138,150,59.84474565600835,60.73870361199368,QahKF,98,6.707939116578698
pVThf,SWVvv,oHvFV,122,105,133,123,48.33815049019913,29.108949887703695,jxaDU,79,36.57355743179464
SFnWS,WUERQ,VhcsG,83,127,131,133,50.635871782902605,29.42841581172133,ZKLfh,122,1.9729494117474768
dLnSa,LEEkF,xhxaC,101,144,126,126,46.9331071004997,23.63972162576627,fauld,126,-14.704480049811849
qcZUG,Dblem,meQgK,91,139,128,127,64.73343281628095,43.608918465087314,dRnGz,80,25.035268766281057
edpvL,TzFLl,MDEYB,86,123,129,127,111.99185640025189,37.82434688719174,NgEdd,101,-18.944798790107992
wLTlM,PlxMs,clRdf,62,129,128,117,69.8962077752876,29.024778874350517,wHrVd,123,5.792077088356675
KDgsE,zZRFz,lFkZf,93,78,141,125,94.13861456173964,22.868707407439288,anAbQ,103,42.437998149088415
EOAMn,QlYzS,tpwPp,72,134,134,136,79.028219390472,25.95793049456261,Mmgut,78,42.574525481922045
oZMAU,tNESE,fGKxZ,101,129,127,134,33.40582175297286,10.627047485164312,lRaUv,103,31.717454326709042
gNaZg,tmkYJ,QRsyo,97,72,139,113,85.80174365714814,39.3137237904362,fpEoO,112,-19.86517210441129
umgCM,KfNub,Ayulu,70,128,139,119,36.11873862426788,38.54135711985671,sSaQB,82,-27.960710085844294
Dacdt,RQoav,dyhal,100,148,114,119,41.961091345519414,20.15881175726282,ozUzT,123,10.127421689489193
KYyFH,gALmU,iccNi,63,117,121,112,58.730215394605494,12.02329521918768,KsnEC,91,15.519210358971245
wLeMS,LFRZM,qbUIW,95,122,147,115,59.262982762780496,39.64038461359469,bdVwN,129,-29.726324564000944
yBuwj,WFSKx,ZWUAm,118,106,162,112,33.585442610503165,23.127520066311753,bDTxP,94,-34.220988698424904
XgPUI,CrYaj,OItWo,96,136,164,133,54.118802991013894,46.66368892632978,jQyVe,100,17.793762040202243
jmbrz,dDMTQ,McjtW,96,115,149,138,64.99023220296979,34.947781635272186,FvRdb,122,8.696259361257248
YQZQA,VutUW,dvVss,102,117,141,120,38.62230868116467,24.961315975474392,VtkDw,83,14.205771291169638
jvAiE,agweS,BWWID,102,130,147,142,48.68981159391012,33.13182291509965,LJJYz,149,24.186540442527058
Nbbeb,kmozf,GhqGw,79,129,118,138,76.43450221597287,38.27938669011695,xkkQA,80,13.54251597332056
CrGMp,kNlqs,qeuCI,91,152,123,124,41.362722141927435,31.148938604662657,wRYgu,100,27.30037612369588
cLNzG,SWnFU,YwCmy,37,38,43,42,16.11490031996393,14.603488492485283,fPguW,34,8.958284991524229
uoNSj,ZhPak,SXSJA,28,52,46,44,9.872503770816403,11.94431181433711,zkMWC,40,7.229509663962425
JoiVv,AqWUl,kiFvZ,41,47,48,41,27.9290717493184,10.674037123092285,NRqrT,29,19.208723781662897
vgCGb,HswsI,kBRdl,25,38,43,45,21.54226502148085,4.611119399634445,KBPoS,45,0.03701031683356959
cmCeP,DebfX,OFLZT,52,47,43,45,26.98425512804345,13.102081560996188,BOShU,35,-7.9206640148959995
DKDGn,QDLQZ,tHfky,35,43,41,43,11.638052189834271,4.00308796323877,TNNGw,39,-25.158501726327007
eWPpL,GZARl,LYKMC,34,38,46,43,11.725103352101753,13.491879665153025,YJHFA,34,2.508877639001563
csxdC,QYTtC,dWedL,44,57,42,47,11.378728896159833,12.21354420761269,EVxiu,30,15.51905261561006
DfYNa,UnVKx,sGAiR,31,33,51,40,17.810969693704248,8.97100326049415,pQJfR,32,-1.1003797510964928
rkpzt,iVPEi,TyQtc,24,56,51,39,21.041879023659142,10.791232840712428,YrjKD,36,15.597803171413418
oSoKb,AHxbn,asKot,23,45,47,37,32.53778149952405,13.110211171785465,atSEI,31,0.37243570189224995
BQjpi,rdSXw,HGlSn,17,44,43,40,23.74221430000167,12.544334563245272,FrUWe,33,4.196580041517351
XLfrU,vGHUu,vQMjl,29,44,43,40,27.275642918778612,7.023622420403692,pXlpz,34,-2.3256951038743514
RjJUx,WIIEg,fazzj,21,45,36,48,23.9660124436148,11.014857961707229,ubVTG,37,1.5361314240847208
MmtMX,zhCBC,cxQsy,18,45,50,41,14.104540952041194,7.192800576258208,rAemy,45,-0.7419030132150386
UbpOt,BKhdu,ZWvLO,34,37,50,42,12.35024871228056,13.243642806527376,XptIs,38,11.332178783929177
DwMtk,sJnaR,RzkDC,47,39,51,41,25.38063350103004,5.514920378523802,rYVOH,28,-4.428188340479721
CKvnK,fPOvu,KwIRZ,42,53,42,40,13.87589903097955,8.53070263762412,cFNvf,25,16.115200825741343
bTyve,BIajd,uSJei,22,46,38,41,19.275864610831228,12.853463342693642,DfdKd,27,14.533019671523624
KXItu,TlVwX,aWrFU,32,44,47,43,25.470729416043863,3.6137438894210607,lRiAW,33,1.4550849206138223
SeLNy,bRSjF,oeRqQ,17,41,47,43,27.344361460871028,5.030243571223609,WhaBh,40,10.298963990626913
NBrYC,jhnRe,PFLQz,34,44,44,43,25.457307376693947,12.99042781013804,vzeap,37,4.425276170862163
BQFzd,chRAp,eCiVR,35,50,44,40,24.356359317804746,10.897488614588262,RtOOE,31,11.309901692136522
vImdk,DONRP,LNMQw,29,42,53,45,24.039759931884166,5.662023418528701,LhvHG,49,-9.882135900650633
GiPWd,vRTNU,bcvSg,31,39,40,37,13.6592761262185,11.244042893893091,GkFQZ,26,-5.608506976715461
IeJmM,jdQnS,lSHuv,36,46,39,42,27.910874019804776,12.597138188907511,rhDXR,30,16.833870250446402
dszEA,zVrVm,AfwRJ,38,35,35,39,24.110307267719563,10.569841859779421,FAujs,44,8.790628977631268
stNKU,SyoQa,OdaYy,20,42,44,43,17.297514777978463,2.986039176767603,FZzRp,44,6.515137908481792
esNUF,duMoi,jFeYp,29,57,47,42,24.154593039180945,8.970866218367178,JbrvD,30,9.720198148832313
zthVa,CxeaR,ThZwC,35,50,41,48,16.39846560330261,8.658504634513902,pINat,39,10.080767346780673
YgdbQ,dsrJM,WxSGp,22,43,47,47,19.68824843083048,14.999454155810781,cNRhW,37,10.82032183801163
iOdBZ,JNakq,suoJl,28,29,40,42,33.41390896622085,18.877633418682954,JvhnL,37,-2.8753955251005756
MJLOj,OjkUX,GKNil,30,46,45,41,21.921782842884916,9.182983394462877,mGWqy,29,-8.158770866606796
XqDvK,laNIX,afFAX,34,36,51,43,18.65893990088942,2.264951280824289,vvnQP,35,9.956267221229467
uhLkz,cMPTL,ItfSs,21,39,44,44,21.5563825453444,10.036599344375286,ARrGW,39,4.762448395157616
EXplD,IamFj,iYNza,13,38,57,39,3.9757098517152905,7.653403626111471,OWVht,30,-5.987537862826533
rxmPE,gEnVi,ulygx,24,46,38,45,21.806625853252566,5.117787286580589,EqUYH,26,12.754898905436027
pWOuh,IKJmC,emfRI,35,52,46,48,18.463855992677626,7.606829381924216,YgVWO,25,8.106843838037635
FbuUz,ZthKd,kXzRS,39,46,32,40,19.617359355729725,6.35624276170459,TTPgR,33,21.549966296327074
WqkQq,pjKtb,GrpWG,50,38,43,44,24.014316203878295,11.817134317298992,GgWwZ,30,7.662612963050925
wmizu,HvQFS,NOumV,34,50,44,41,19.82559175587493,12.772149585761245,FbviO,32,6.7529874939988
KArYT,uuzlL,uzvoM,29,45,48,44,31.508340586440447,8.722601659053623,zuhOq,32,5.528649764356438
ZknwH,CPEpY,feQNu,17,38,44,42,32.12272858582401,6.5097079675188905,PWWmJ,36,-8.263813961664017
AZXNC,NTGBs,eZTdu,26,45,41,37,30.267736858704875,13.437213674917333,QhhtG,27,17.240066096956767
uRmvV,DVzZr,IvJZs,40,50,52,42,14.569480967472202,4.053970083539085,WCWLP,36,2.924095058251983
hriTM,OmieL,QIpSu,28,40,40,41,17.342667799299885,14.086338968553157,wzewI,35,-8.745643995396087
VOuTg,brIoZ,xIHMw,26,38,44,45,26.765449147400762,10.798531637609841,plElz,31,4.040816256025431
hEFNP,HBbJz,XvGYw,27,32,35,44,28.618990713879995,9.429246708209469,ZjdQN,29,12.914453763880921
dPWQI,dtPIi,mUkRT,29,47,51,39,17.559485988988246,7.711857457808286,FpLql,35,1.1335068627195524
ewZKT,Dzlsm,fZNPH,20,48,41,42,29.61508910998878,11.368357563501679,sPVGy,37,-4.61496077879875
RFJfU,fItoE,oLSjn,19,38,38,45,32.94623306751263,9.09169204952274,xPuwP,21,-7.891567944645711
dUUXY,HPTrQ,Eqdit,36,49,46,42,21.509539452527378,11.602629456326298,aaXhw,24,7.984353129331369
NmAMt,hkmHO,IQnHn,41,36,42,42,20.381207282340803,11.855373806027059,AFJui,35,17.293804207305307
fHLDM,pxgZS,YzKdV,20,47,41,45,18.967284766441146,9.872060938483584,OPOQT,31,0.9420739023380591
HkncZ,nMzpl,JZkHK,34,35,50,44,26.166065493410983,10.02068876848541,JPIID,30,13.053268119098869
NCwGk,AmNed,NPFuw,29,37,39,48,18.27469963078845,2.9346947459622577,ekGMb,36,27.462090767992315
jXlac,sLOLO,VEtgY,42,39,33,43,20.221108082558533,13.481609539732023,Nwozn,30,12.637870432702345
HqcNq,jkLRN,HgZUp,34,45,46,39,20.878110543990704,10.608940900726843,OeIwV,28,6.362177668563192
wWNlK,FnOaN,dFrzV,26,42,40,41,25.61556954740729,10.143951468352698,CSUkr,26,7.241428887327601
ENaNw,TToMK,xRbvF,21,32,40,43,20.353201618370907,5.172493371725202,rPhKN,30,-3.980403509011115
rvbdU,QoYCD,aDOCl,24,46,45,42,20.55209799462084,7.562064864982625,byyzL,28,5.062856646586302
nwhrY,Cmkdl,zKVTz,38,41,43,42,14.578791047436937,8.948813284025883,mdvRa,29,1.6779335347579503
aKlgY,bvAFS,nUAbl,20,39,45,42,19.25655438565433,10.52800024849137,UGdHH,26,16.806277263156375
vXOqi,JsSYc,RGTJk,40,43,50,42,20.082789490354344,9.868616412947647,mDhuU,36,3.7498078173976754
dvQQs,rrfCx,WrUlM,24,43,43,41,15.5013155688229,13.721366776552602,oIpbS,35,-2.1079364717664077
axzmH,dRSLW,jCldW,27,37,42,42,22.634216914369368,13.14763759030615,jqyYD,29,5.787493978481994
GWrzs,ghfVc,jenev,47,31,45,45,22.94975946556162,9.677082482840305,TvGOL,38,-3.6118722013846964
hRNlN,Fksmn,ULbtu,46,45,49,47,22.79573911848237,2.1696792870612533,EsRvO,39,9.142988170405742
JmMUa,jgJvU,uOOnD,44,39,46,46,25.004889621344642,8.886796899930111,BZkhv,20,-3.793067367891936
oFXwO,BPBLv,SMunF,46,39,48,41,18.614809081283965,4.731612720255272,vaUFV,33,6.299698989574973
Zutld,zmwVU,baTFB,31,40,41,44,27.09054123341887,9.402840305307004,NFfwh,36,5.199951984282347
sVrZU,oIMfS,qcwtP,19,34,39,46,12.088315238958756,5.6905885854213265,EwUfO,42,2.3532643450128283
GzRwV,XDIeM,bONWr,40,53,46,43,17.744363804294657,11.76234987155629,fDSdI,33,2.660917626111307
rRozI,BwHKf,MVUEB,19,35,50,44,4.907449744763355,11.732147241486826,GpqvX,33,0.5684922159837669
UngfD,vLnPD,fVdDq,15,40,42,43,8.1927696182927,5.1610499556344065,JiqBI,36,-7.49020607037683
ZxTZC,WJbhc,rPQEg,29,38,48,43,26.54809821669474,6.387538915852758,fXelu,34,-5.552386954915878
CXocB,SnsRC,ERvno,34,40,43,46,18.296184605899718,10.101871349994795,lsUkI,38,1.7170241246705569
hMqZd,fjVhl,mMdEJ,39,30,42,43,18.805435148144195,11.08242289924248,WZICG,35,-0.8593782019558809
NvRhN,ANaQZ,KEiyW,29,30,40,42,18.54577732346611,8.260259991569173,ovAmZ,43,11.360266460097765
bAWTP,bkyyZ,LZGQj,39,49,43,41,29.510062795797108,3.0116342143891712,ykKML,31,12.30706678767764
wKwhB,bgADm,mIJdh,44,40,39,39,10.628629446860558,4.590388190487918,rXUoo,32,21.73403262147618
WqSvu,uyCCS,rFLTK,32,43,45,43,19.72817891516379,6.441889296523186,YSVHl,34,4.591493521701706
NeAcC,ZjYED,PXyca,20,45,56,43,31.63257108886368,10.062162893022897,JcEHp,37,-5.519531217008366
GTNjM,gjGWi,eKEVW,37,43,37,46,23.41218747016702,12.091616997997114,uFIis,30,16.305378139309752
qrzxo,GemuG,oJUmS,25,41,40,44,7.891588634961176,11.063048950867906,WEciX,10,22.026377581557643
CuXKC,GxQzk,bwQSB,30,35,35,39,14.731944493480015,12.837769245753224,GVzYc,38,14.135790209832004
lSLvd,VgDHb,Jgoqq,40,48,37,45,24.554225349445176,7.66474355087173,iJvnJ,36,4.105298293513843
twMPv,XfudG,eCmaz,38,55,46,47,25.878917607893897,10.076729987650175,aApJI,31,-21.73571290753867
cHAqS,hPank,LMyDK,32,41,42,39,14.287232472269821,11.558573842157596,WvAae,36,13.751225037566051
FqJrR,WbnRs,JqmOW,27,40,28,37,25.521437050563065,11.60451050024261,yHxci,33,-3.9014072230435914
wINds,aHyxA,Ayski,27,44,51,44,30.734762464205495,12.613321675385237,NDbRV,30,7.909200185833216
dRdLR,NtNpt,pIalb,11,40,44,38,10.469923029138567,5.942024321379012,PZoqz,32,20.760053861987384
TyTVG,MFZGc,TpSmf,40,43,38,43,13.700980762100315,4.473005731136575,ZdEGE,39,14.164311038887433
tQTEc,tusyk,PTFDi,25,45,48,44,20.765301764138236,8.008966721340531,qYSMI,42,-5.998901460826861
QsCTT,ZuLCC,AKPae,28,47,47,39,25.408704807736825,9.77348482067016,NJMrj,35,14.627297368473254
jyDwr,xHeex,zetIv,40,47,45,44,16.31204285170714,2.8637857445985606,YXAmy,36,5.4006288338607975
glYhS,MbApK,nxuLZ,34,43,48,42,24.697217808074114,5.320106729948268,BHzMj,41,11.488935454524185
eGRLR,vHkRw,mPBml,33,39,45,44,26.83450733677853,10.814128087828248,sxzgI,26,6.827385387944492
llERt,FCGVx,bRuUV,32,59,40,45,17.99840985888354,9.673560833458989,RWPXc,35,22.4828428356712
WuxXz,MrfMb,QZgYj,21,54,44,44,9.062802637905218,0.7556889753486704,LfQaE,45,4.743234863637418
NBOoA,jctoD,WHHQh,31,28,45,49,10.177218100363158,18.78727735556475,wvRXF,32,13.887148700444268
FuzFi,RrMvl,IgPOr,35,46,41,47,23.39512371799332,6.190577263567931,SEfvR,35,-5.520399886327459
wPZHO,gQyTo,AvDOh,35,40,49,46,14.000111574666956,14.791721104338013,OMuHT,27,2.2148362706782843
GQCMp,MReUJ,tiRxV,47,46,47,43,37.381087830672655,14.380552545704493,PTxnj,35,4.575687151010433
yBxDs,QCKMW,WaFnv,27,48,43,38,24.523679985279674,6.684605114848633,QqUhz,35,3.0301261557450134
LGkBE,aJDPg,mzYBd,28,45,50,45,21.644617738738575,6.858479186902127,scEyA,29,1.2119134486526324
eawnF,gvmso,kgWsE,24,41,45,48,19.56020428780413,11.853222240166383,OFKup,16,17.19843093687471
MWRFy,hwEwL,QKHGu,29,32,40,42,14.003137121346327,13.176592687556338,NjrhO,35,3.7992360383396244
ZLnMe,XqgNt,TPgTX,30,40,53,44,25.378564477166908,5.0971699073239325,SCZtr,26,12.228485267051347
NCSuJ,PsGmY,LAfak,33,45,50,44,17.40229895197169,16.983289134093997,TJfKS,29,-1.0293440912048704
eKaOE,aBRDy,JYUvY,30,44,52,43,19.225164610358885,5.378198158101588,wDaoB,33,-13.161894338236191
RvTlH,EOubI,HxoSQ,24,45,46,47,25.25991225614833,14.367839197265084,nQryA,39,7.543150308847767
TCKmj,ZXCGq,TkMIK,45,41,47,48,22.387117470309597,8.262226674201656,mpfTO,30,-13.892436171063459
nfqDI,kmDEm,bzRfy,30,45,50,37,21.144009249384226,8.139621622505803,zoLsC,46,8.299776324132342
aSMlg,quFvh,DUXdI,23,34,50,44,13.578629413894733,9.024584857466445,PFTWW,30,18.1676615447841
VXViO,nXtEH,VOeaG,34,42,38,43,30.538932211500544,7.326106107858314,KWzzk,35,2.970034233482009
qWaZL,oTjED,uKXGp,41,38,44,42,33.117385886635404,5.98465844970046,omEjA,30,-4.785230597482359
PDPAd,DjvCX,klkNz,30,43,48,46,35.63615784203947,6.019112115549459,uEpfP,37,-5.1289641097539125
MEfwm,mrbru,sWUaJ,19,47,38,46,22.443405626156647,6.53819003943333,HklSs,39,-2.513629788024663
IKDKQ,qkQKG,aYawp,28,41,51,42,21.538518202577805,10.376496992192378,VHqbH,28,1.5058594385535402
chEOH,ofggA,QdfNd,33,41,43,45,4.397905390163885,11.468883627162358,pqatD,33,-4.192093228951132
UrOZH,nbuUr,FLPOk,27,41,41,46,26.1932707527354,3.0831966204718713,vkxLG,42,1.7605581190162298
UqZgQ,qGUop,axjKt,30,42,45,41,16.058780505491587,8.356565325256499,oxnVC,39,18.271438448766474
YKOiM,Xbmll,JNcpW,38,45,55,36,19.123008991139532,12.656296048404828,qQSjx,34,-0.37708268916050525
KcTHP,JtnbE,tYybU,36,41,41,46,20.07261281002454,4.824577073150099,xiHlx,36,-3.986761159717096
JDFmu,sGolX,GqVzI,32,51,56,45,27.457721435136122,8.170620498835284,tFudO,30,13.97416740194872
DeIWM,iJGmJ,AXkuV,38,37,47,42,29.594195143652843,3.8979217733014524,VeaBN,49,2.5744573269101148
OIbyA,fkZUr,YCLsT,35,33,34,46,20.955173279750863,9.528865204453451,CSVoP,24,-3.845659848702331
iXhBE,McEJo,ODAIf,43,41,47,45,33.05151376595574,8.920203459224501,CcSvl,27,6.9091483852438005
gYQjh,XqWFd,ZeMkt,23,40,47,45,18.26425132150245,10.514172998839506,VyPqz,29,5.585206101162257
zMdAv,Hvvrp,ZUmeQ,34,34,38,43,15.234487944587464,17.96374384491041,nxACE,22,-4.077043075851153
gmUmf,zyATr,jEUIH,48,35,44,41,22.10422209177938,8.178919980922345,YfpvF,37,8.253150605910346
vyQSh,PbJvZ,uybRQ,31,44,43,39,36.10883529148938,8.724448875738545,VJAvE,35,12.762865322725972
QqRNF,LRfPo,QKGeg,28,48,42,43,11.164083597362714,7.593115288010345,KNLZq,35,5.320830965825326
FqIes,ljRzs,oWQaY,51,35,49,42,25.26894631999507,2.0100538645357933,ObFvg,29,3.7589124309800295
WlcGJ,XvBht,qDEum,36,49,54,42,12.580389452808738,10.8598079364843,tLAUm,25,10.440116659199724
nSpSm,QSHVY,xGXOc,37,39,46,41,12.006389133929975,4.410764447292102,lhING,38,14.505579712607734
XcAko,lMZxW,XpkUt,37,34,46,41,31.610486524126294,17.055544222588114,WdxZT,29,10.3140112411904
EdPFF,gugFZ,McWDl,34,45,37,35,34.64542037113121,8.174979887390702,XiEmr,33,-9.065539660629447
RMgLg,yQNho,isnKO,32,47,41,45,11.6445661320591,5.968006008064759,Vkipx,28,-13.11168671136717
DwTdP,IDeqt,QTyGQ,32,53,36,43,28.481954040972823,8.682700037162215,tCmSK,42,7.162236189940806
eETFz,rMQQJ,GztsX,42,47,44,40,30.864206865487063,10.444516840546358,GDHZD,38,3.079189975137111
zAtHP,GwLaW,IFPwd,31,38,42,43,18.49256912728159,9.973051412094332,PcchM,38,15.207408182112307
KOpBj,lCSji,asUvH,43,46,51,37,12.01442672469162,12.695012697977175,MGnry,35,28.658067199454905
kCrsz,QoPYz,kTXzs,31,44,43,41,32.106315107390564,10.450933426479052,HbpZh,28,-4.989490215377318
AyvhZ,gFbLO,jthnN,29,42,53,41,14.540058468387913,11.830427199673236,uEnOx,43,8.628423318266579
zONDc,zzcAb,POrcf,26,46,43,39,17.405093497565048,-0.33849333214149446,pcIaf,23,-9.822361053458046
vFXAZ,KfZRT,iDxGf,37,43,50,43,28.16563836648193,11.877005361711468,SjYDg,36,2.2145595589106017
qwKgr,QxggM,OFVyh,38,40,42,40,27.71752255599254,9.414717757432342,IFtPT,37,5.948910092658007
XEISs,aLgKq,ZDsuG,25,40,45,41,30.496619120652223,14.870447855529582,ltDEb,30,19.131970864124405
oLvLL,DybXQ,xArjP,32,47,45,41,27.97859870565458,9.656892890198465,lJIXa,28,-1.890100707692489
WLdKT,sLQBH,MPwxT,38,30,38,44,27.358338248051652,8.640207038324494,ONFBK,34,-1.206941053706844
QBAwf,BbReu,qExTW,25,53,44,40,1.3082487547052999,6.250882024206853,dZgfS,23,9.83492564935567
UmZsp,znCiy,SxMow,22,44,50,42,31.019223805432013,13.871313349574809,cLyxe,34,-3.5696425335741333
EhRDZ,uekNm,PAHZy,27,53,39,47,55.16673335900539,7.7228791290654,FixFp,41,1.09067101905287
InaqU,TKJHq,CrJRA,34,48,47,40,15.995105121489233,12.42175936377957,llmxs,23,-4.789754547601616
vHoss,tduiC,fNQxe,24,44,45,44,16.330153861388755,7.470787802070113,IGyWc,29,-14.53083504513894
fzHMz,dkkQQ,CKXMB,19,39,41,37,18.378276302607034,8.464759200183646,pYpRO,29,-2.142200163136695
dKZsR,kgEqx,FnBun,31,41,46,38,14.300381423991418,2.531888532706801,pYpzq,29,-6.479285410014576
QDGiH,WucPY,TfEDx,32,49,45,44,26.502006295443437,10.107481568520292,DRRkQ,28,9.353990366167192
baQLW,nCVNf,Plmez,27,42,46,43,19.313253260409386,9.441968875529746,RECMc,37,6.1535624093172805
WwuQK,sWDGp,LrLjh,47,54,45,43,17.128978391899775,14.45601030484898,xAfWO,20,-0.8975319551108791
hzviu,hemqw,HVWsD,14,38,46,44,19.620535335720177,9.265697717750326,zUGQX,33,8.475304080042191
ArMyD,JNHsy,oTORx,23,41,50,44,5.574995670022842,4.734879008904758,bhbkH,39,20.718430849580034
dqawm,cYmsQ,lgNEi,28,47,43,44,14.791753159216588,8.055393199367625,sFbaL,39,8.472871437987767
weptP,XIeXI,KpAIw,24,47,48,38,17.587779719386056,11.452729777752156,pNJXG,42,6.662220218641492
TdIVM,IRpFs,vxDHR,53,38,47,38,27.78424388759291,10.32366979656997,ydDWF,35,-8.480222223614328
OykOx,OUGbN,wVQuR,34,43,36,45,37.73303160658628,1.7995255086493973,KRAkb,38,-8.21056185831236
fcjLI,Vyvdk,KfDcQ,41,44,49,42,22.599320979389045,11.8697836336788,TzNIm,34,15.14583525911247
rONMn,ztbKN,jGUrB,26,39,40,43,16.93223184717208,5.028308437912501,ALolZ,21,13.25408627159376
jcCFX,cgpKO,FOiwT,26,33,43,41,25.453832355647208,8.073102772731845,hgToB,35,6.136993163296841
cOgAV,XrDSJ,sziPf,31,38,43,46,29.985784105587918,8.888593820489538,BbmKq,37,9.75283656585649
Xywuh,cSQPw,FhgDi,38,43,43,39,20.558186635176448,8.982927085803224,bMvGV,44,-4.402606500915814
DNLIo,wCych,nadvq,30,59,37,44,18.278781341312236,8.06092544350124,NwWRE,25,-2.084077437388194
YvpfM,cyvac,MsNaY,39,40,46,45,34.584886403219286,13.707091883816878,fvAsj,25,11.904512703106661
